community,year,temp_value,source,scenario,family_predicted_count,family_reference_count,family_excess_events,family_risk_0_100,temperature
ALBANY PARK,2020,33,Mortality,steady_state_lag_window,0.9948966954553621,1.1715185585682897,-0.17662186311292752,0.7026466572947897,33
ALBANY PARK,2020,34,ED,steady_state_lag_window,2.8433564100546973,2.623128857848419,0.22022755220627865,18.696393254894947,34
ALBANY PARK,2020,34,EMS,steady_state_lag_window,9.81732674977542,8.054958488907328,1.7623682608680917,5.943010669652687,34
ALBANY PARK,2020,34,Mortality,steady_state_lag_window,0.9519361795665138,1.1715185585682897,-0.2195823790017758,0.6743246045757257,34
ALBANY PARK,2020,35,ED,steady_state_lag_window,2.8611076214568767,2.623128857848419,0.2379787636084577,18.842340037987228,35
ALBANY PARK,2020,35,EMS,steady_state_lag_window,9.895113697963916,8.054958488907328,1.8401552090565874,6.1774737337868135,35
ALBANY PARK,2020,35,Mortality,steady_state_lag_window,0.9158001918860738,1.1715185585682897,-0.25571836668221587,0.6505016749165746,35
ALBANY PARK,2020,36,ED,steady_state_lag_window,2.8793990736973574,2.623128857848419,0.2562702158489386,18.99272856934439,36
ALBANY PARK,2020,36,EMS,steady_state_lag_window,9.973922088990799,8.054958488907328,1.9189636000834698,6.415015599998966,36
ALBANY PARK,2020,36,Mortality,steady_state_lag_window,0.8874863655798729,1.1715185585682897,-0.28403219298841664,0.6318355657060285,36
ALBANY PARK,2020,37,ED,steady_state_lag_window,2.898261369298663,2.623128857848419,0.2751325114502441,19.14781045656749,37
ALBANY PARK,2020,37,EMS,steady_state_lag_window,10.053767217568883,8.054958488907328,1.9988087286615537,6.655682369149444,37
ALBANY PARK,2020,37,Mortality,steady_state_lag_window,0.8684981161266915,1.1715185585682897,-0.3030204424415981,0.6193174152385816,37
ALBANY PARK,2020,38,ED,steady_state_lag_window,2.9177270761339176,2.623128857848419,0.2945982182854988,19.307853465963124,38
ALBANY PARK,2020,38,EMS,steady_state_lag_window,10.134664695334113,8.054958488907328,2.079706206426784,6.899521097358652,38
ALBANY PARK,2020,38,Mortality,steady_state_lag_window,0.8610320622401701,1.1715185585682897,-0.31048649632811937,0.6143953614083967,38
ALBANY PARK,2020,39,ED,steady_state_lag_window,2.9378308562036475,2.623128857848419,0.31470199835522844,19.47314258131959,39
ALBANY PARK,2020,39,EMS,steady_state_lag_window,10.21663045763455,8.054958488907328,2.161671968727221,7.14657981647025,39
ALBANY PARK,2020,39,Mortality,steady_state_lag_window,0.8682387707134971,1.1715185585682897,-0.30327978785479254,0.6191464397669662,39
ALBANY PARK,2020,40,ED,steady_state_lag_window,2.958609602977045,2.623128857848419,0.3354807451286259,19.643981133098325,40
ALBANY PARK,2020,40,EMS,steady_state_lag_window,10.299680770477336,8.054958488907328,2.2447222815700076,7.396907554990495,40
ALBANY PARK,2020,40,Mortality,steady_state_lag_window,0.89458521350919,1.1715185585682897,-0.27693334505909967,0.6365155361658554,40
ALBANY PARK,2020,41,ED,steady_state_lag_window,2.9801025878731977,2.623128857848419,0.3569737300247789,19.820692002772233,41
ALBANY PARK,2020,41,EMS,steady_state_lag_window,10.383832237637128,8.054958488907328,2.3288737487297984,7.650554359514252,41
ALBANY PARK,2020,41,Mortality,steady_state_lag_window,0.946358338052293,1.1715185585682897,-0.2251602205159966,0.6706473693713562,41
ALBANY PARK,2020,42,ED,steady_state_lag_window,3.0023516164970143,2.623128857848419,0.3792227586485953,20.003618907365095,42
ALBANY PARK,2020,42,EMS,steady_state_lag_window,10.469101807930182,8.054958488907328,2.4141433190228527,7.907571316650342,42
ALBANY PARK,2020,42,Mortality,steady_state_lag_window,1.0323644348340726,1.1715185585682897,-0.13915412373421715,0.7273475545720369,42
ALBANY PARK,2021,24,ED,steady_state_lag_window,1.994643649984978,1.9924592581235996,0.0021843918613783406,16.903687556865457,24
ALBANY PARK,2021,24,EMS,steady_state_lag_window,8.947993881329246,8.602999979120954,0.3449939022082935,1.6708037905342645,24
ALBANY PARK,2021,24,Mortality,steady_state_lag_window,1.0374082766269326,1.0339577804524374,0.0034504961744952108,0.8213607543549811,24
ALBANY PARK,2021,25,ED,steady_state_lag_window,1.9937322685125873,1.9924592581235996,0.0012730103889877723,16.89619436718664,25
ALBANY PARK,2021,25,EMS,steady_state_lag_window,8.971400150079965,8.602999979120954,0.36840017095901234,1.7413542571490743,25
ALBANY PARK,2021,25,Mortality,steady_state_lag_window,1.0376371684679868,1.0339577804524374,0.003679388015549529,0.821511653073378,25
ALBANY PARK,2021,26,ED,steady_state_lag_window,1.9928459224959905,1.9924592581235996,3.866643723909667e-4,16.888907013839418,26
ALBANY PARK,2021,26,EMS,steady_state_lag_window,8.99515394783157,8.602999979120954,0.3921539687106158,1.8129522351564822,26
ALBANY PARK,2021,26,Mortality,steady_state_lag_window,1.037870226428471,1.0339577804524374,0.003912445976033661,0.8216652983382653,26
ALBANY PARK,2021,27,ED,steady_state_lag_window,1.9919849828674134,1.9924592581235996,-4.742752561861527e-4,16.881828546551706,27
ALBANY PARK,2021,27,EMS,steady_state_lag_window,9.019255897008003,8.602999979120954,0.41625591788704963,1.8855996006479006,27
